dataset,image,method,k_type,n_clusters,traditional,pso_dbn,processing_time
block,block1,kmeans,determined,3,,,0.0
block,block1,kmeans,determined,2,,,0.0
block,block1,kmeans,predefined,4,,,0.0
block,block1,kmeans,predefined,2,,,0.0
block,block2,kmeans,determined,3,,,0.0
block,block2,kmeans,determined,2,,,0.0
block,block2,kmeans,predefined,3,,,0.0
block,block2,kmeans,predefined,2,,,0.0
block,block3,kmeans,determined,4,,,0.0
block,block3,kmeans,determined,2,,,0.0
block,block3,kmeans,predefined,4,,,0.0
block,block3,kmeans,predefined,2,,,0.0
block,block4,kmeans,determined,5,,,0.0
block,block4,kmeans,determined,2,,,0.0
block,block4,kmeans,predefined,3,,,0.0
block,block4,kmeans,predefined,2,,,0.0
block,block5,kmeans,determined,3,,,0.0
block,block5,kmeans,determined,2,,,0.0
block,block5,kmeans,predefined,3,,,0.0
block,block5,kmeans,predefined,2,,,0.0
