dataset,image,method,k_type,n_clusters,traditional_avg_delta_e,pso_dbn_avg_delta_e,processing_time
block,block1,kmeans,determined,2,1.7204972121164155,11.317060295022202,3.6753922000000046
block,block1,som,determined,2,10.838079868081074,13.664560016549114,4.027323200000012
block,block1,dbscan,determined,2,1.6052294734807857,11.315656067884564,44.77799920000001
block,block1,kmeans,predefined,2,1.7204972121164155,11.317060295022202,0.009573999999986427
block,block1,som,predefined,2,10.838079868081074,13.664560016549114,0.3187528999999927
block,block1,dbscan,predefined,1,21.977019261952794,16.67461827150105,1.7804907999999955
block,block2,kmeans,determined,2,1.8895592280572062,11.730894800930727,3.6632186000000218
block,block2,som,determined,2,7.081377499488621,12.817073139187215,3.9404548999999918
block,block2,dbscan,determined,2,1.9186392955661864,11.686047309821511,40.3341853
block,block2,kmeans,predefined,2,1.8895592280572062,11.730894800930727,0.009937600000000657
block,block2,som,predefined,2,7.081377499488621,12.817073139187215,0.334644499999996
block,block2,dbscan,predefined,1,19.472276572692497,23.062211018580243,1.9671611999999925
block,block3,kmeans,determined,2,1.7740282888408592,11.90876605265012,3.589291899999978
block,block3,som,determined,2,1.7789600305862532,11.908021144291123,3.898504499999973
block,block3,dbscan,determined,2,1.6199871468906875,11.848154379904834,36.77596120000004
block,block3,kmeans,predefined,2,1.7740282888408592,11.90876605265012,0.007838800000001811
block,block3,som,predefined,2,1.7789600305862532,11.908021144291123,0.3102602000000161
block,block3,dbscan,predefined,1,25.807166422936444,18.860834783700533,1.5873326999999904
block,block4,kmeans,determined,2,2.5310340182014177,11.959502590329667,3.5765213000000244
block,block4,som,determined,2,10.637289791319906,17.095077011332872,3.8767740999999774
block,block4,dbscan,determined,4,10.37769623330015,13.384182653678815,34.7404894
block,block4,kmeans,predefined,2,2.5310340182014177,11.959502590329667,0.008468899999968471
block,block4,som,predefined,2,10.637289791319906,17.095077011332872,0.3074743999999896
block,block4,dbscan,predefined,1,23.525498105520857,19.908074989238358,1.9173314000000232
block,block5,kmeans,determined,2,4.287118669400037,11.746499715670003,3.6669039000000225
block,block5,som,determined,2,14.703994744305266,15.21378267221656,3.955067100000008
block,block5,dbscan,determined,3,9.421336943777176,15.705631898740725,34.98065270000001
block,block5,kmeans,predefined,2,4.287118669400037,11.746499715670003,0.008314400000017486
block,block5,som,predefined,2,14.703994744305266,15.21378267221656,0.3228331000000253
block,block5,dbscan,predefined,1,17.738342153696344,25.094015440464833,1.8294147000000294
