dataset,image,method,k_type,n_clusters,traditional_avg_delta_e,pso_dbn_avg_delta_e,processing_time,segment_stats
block,block1,kmeans,determined,2,1.689601545827595,1.3824084797731677,3.875535800000023,"{np.int32(0): {'pixel_count': 9071, 'percentage': np.float64(55.364990234375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(0.974387491491347), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(1.2221749450516195)}, np.int32(1): {'pixel_count': 7313, 'percentage': np.float64(44.635009765625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(2.404815600163843), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.5426420144947162)}}"
block,block1,som,determined,2,3.583710960497478,1.6545658094372269,4.124389199999996,"{np.int64(0): {'pixel_count': 12977, 'percentage': np.float64(79.205322265625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.4679677037350776), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.5816504102762317)}, np.int64(1): {'pixel_count': 3407, 'percentage': np.float64(20.794677734375), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.6994542172598783), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.727481208598222)}}"
block,block1,dbscan,determined,2,6.598680738973081,1.414206170023713,46.74633399999999,"{np.int64(0): {'pixel_count': 7297, 'percentage': np.float64(44.537353515625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.4679677037350776), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.5816504102762317)}, np.int64(1): {'pixel_count': 9087, 'percentage': np.float64(55.462646484375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(9.729393774211085), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(1.2467619297711943)}}"
block,block1,kmeans,predefined,2,1.689601545827595,1.3824084797731677,0.009747500000003129,"{np.int32(0): {'pixel_count': 9071, 'percentage': np.float64(55.364990234375), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(0.974387491491347), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(1.2221749450516195)}, np.int32(1): {'pixel_count': 7313, 'percentage': np.float64(44.635009765625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(2.404815600163843), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.5426420144947162)}}"
block,block1,som,predefined,2,3.583710960497478,1.6545658094372269,0.3562432999999885,"{np.int64(0): {'pixel_count': 12977, 'percentage': np.float64(79.205322265625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.4679677037350776), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.5816504102762317)}, np.int64(1): {'pixel_count': 3407, 'percentage': np.float64(20.794677734375), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.6994542172598783), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.727481208598222)}}"
block,block1,dbscan,predefined,1,23.797896763381967,25.279007482733267,1.9624676999999906,"{np.int64(0): {'pixel_count': 16384, 'percentage': np.float64(100.0), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(23.797896763381967), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(25.279007482733267)}}"
block,block2,kmeans,determined,2,1.8257433317588079,1.9512640814240356,3.9416764000000057,"{np.int32(0): {'pixel_count': 6619, 'percentage': np.float64(40.399169921875), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(2.213851654081378), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.4420963011697183)}, np.int32(1): {'pixel_count': 9765, 'percentage': np.float64(59.600830078125), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(1.4376350094362378), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.4604318616783531)}}"
block,block2,som,determined,2,3.5226675432495984,1.5205491041879897,4.115144100000009,"{np.int64(0): {'pixel_count': 8612, 'percentage': np.float64(52.5634765625), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.568502391179886), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.5223258938331476)}, np.int64(1): {'pixel_count': 7772, 'percentage': np.float64(47.4365234375), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.476832695319311), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.518772314542832)}}"
block,block2,dbscan,determined,2,6.553159756853085,2.0283403308079584,42.49962880000001,"{np.int64(0): {'pixel_count': 9739, 'percentage': np.float64(59.442138671875), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(3.3290535552928677), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.51651679542859)}, np.int64(1): {'pixel_count': 6610, 'percentage': np.float64(40.34423828125), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(9.777265958413302), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.5401638661873265)}}"
block,block2,kmeans,predefined,2,1.8257433317588079,1.9512640814240356,0.00986480000000256,"{np.int32(0): {'pixel_count': 6619, 'percentage': np.float64(40.399169921875), 'best_match_idx_trad': 1, 'best_match_de_trad': np.float64(2.213851654081378), 'best_match_idx_dbn': 1, 'best_match_de_dbn': np.float64(2.4420963011697183)}, np.int32(1): {'pixel_count': 9765, 'percentage': np.float64(59.600830078125), 'best_match_idx_trad': 0, 'best_match_de_trad': np.float64(1.4376350094362378), 'best_match_idx_dbn': 0, 'best_match_de_dbn': np.float64(1.4604318616783531)}}"
