B,G,R
185.39964370546318,162.5356294536817,127.77672209026129
155.52179487179487,145.21025641025642,162.90769230769232
181.09440267335003,165.26817042606515,206.5973266499582
78.8483345145287,64.12367115520907,70.94401133947555
159.72475247524753,189.04257425742574,192.13960396039604
144.0621403912543,131.01035673187573,217.02876869965476
209.5877920735522,208.80192040910697,215.423632456546
120.77456140350877,103.71578947368421,112.54561403508772
200.75170488106107,200.43736240133168,209.73811952961393
130.35802469135803,113.55246913580247,181.92592592592592
