B,G,R
207.81962864721484,208.03557497269466,217.27242939616164
190.75347593582887,169.57219251336898,145.58930481283423
198.57137742772755,197.76837017810794,209.1389957934306
105.91940789473684,90.21546052631578,104.11750730994152
205.76489590811198,205.88681502751854,212.67623833452978
214.24328916072037,213.54536187563713,216.35779816513764
211.2800106704606,209.28294504712787,216.1023475013338
208.4460901417423,207.26453256888038,213.37585602802994
203.0487641950568,203.80911823647295,212.4851369405478
159.9737302977233,162.6661996497373,202.98038528896674
